series,id,wk,zh,zh_hl,en,diff,diff_icon,diff_txt,d1,d2,d3,d4,g1,g2,g3a,g3a_num1,g3a_num2,g3b,g3b_num1,g3b_num2,g4,key,sub
STOCK,STOCK-001,股市基礎・一家公司怎麼把自己切塊賣給你,股票,股票,Stock / Share,easy,🌱,入門,📊,💰,🏢,⚠️,持有公司的所有權憑證,公司賺錢你分紅，虧損你承擔,台積電股本,2593億,,= 發行,259億,張股票,股價會漲也會跌，沒有底線保護,買股票就是買公司一部份・漲跌都是你的,股票是持有一家公司所有權的憑證。公司賺錢你分紅，公司虧錢你也要承擔。買股票不只是在追數字，你是真正的股東，公司的好壞和你直接相關。
STOCK,STOCK-002,股市基礎・一家公司怎麼把自己切塊賣給你,股份,股份,Share,easy,🌱,入門,🍕,👥,📐,⚠️,公司所有權切成無數等份，每份一股,持有越多股份，擁有公司比例越高,公司切成,1億,股,你買,1萬,股 = 0.01%,股份多不代表實際控制權，要過半才算,公司像披薩・股份就是切開的每一片,股份就是把公司所有權切成無數等份，每一份叫做一股。你買越多股份，擁有這家公司的比例就越高。就像披薩切成100片，你買了1片，你就擁有這塊披薩的1%。
STOCK,STOCK-003,股市基礎・一家公司怎麼把自己切塊賣給你,股本,股本,Capital Stock,easy,🌱,入門,🏗️,📦,🔢,⚠️,公司發行所有股票的總面額金額,股本越大EPS越難拉高，股價越難漲,股本,10億元,,= 發行,1億,股（面額10元）,股本膨脹稀釋EPS，不是越大越好,股本是發行規模・台灣每股面額固定10元,股本是公司發行所有股票的總面額金額。台灣股票每股面額固定10元，股本10億元就代表發行了1億股。股本越大，每股盈餘就越難提高，股價也越難大漲。
STOCK,STOCK-004,股市基礎・一家公司怎麼把自己切塊賣給你,股票面額,面額,Par Value,easy,🌱,入門,🏷️,📏,💲,⚠️,股票發行的票面金額，台灣固定10元,面額和市價無關，市價可遠高於面額,面額,10元,,市價可能,500元,或 8元,面額只是計算股本用的，不代表真實價值,面額10元是固定的・市價是市場決定的,台灣股票的面額統一是10元，這是計算股本用的基準，和股票的市場價格完全無關。市價可能是500元，也可能是8元。面額不代表股票的真實價值，千萬不要混淆。
STOCK,STOCK-005,股市基礎・一家公司怎麼把自己切塊賣給你,市值,市值,Market Cap,easy,🌱,入門,🌍,💹,🔢,⚠️,股價乘以總股數，是市場對公司的估值,市值越大，公司在市場眼中越有份量,股價,100元,× 10億股,= 市值,1000億元,,市值高不代表公司好，要看估值指標,市值是市場給公司的估價・每天都在變動,市值就是股價乘以總股數，代表市場現在認為這家公司值多少錢。股價100元乘以10億股，市值就是1000億元。市值每天隨股價波動，是觀察公司規模最直觀的數字。
STOCK,STOCK-006,股市基礎・一家公司怎麼把自己切塊賣給你,股價,股價,Stock Price,easy,🌱,入門,📈,🎯,⚖️,⚠️,市場上買賣雙方成交的價格,反映市場對公司未來獲利的預期,昨收,100元,,今天成交,105元,→ 漲5%,短期受情緒影響，長期才反映真實價值,股價是買賣雙方的共識・不等於真實價值,股價是市場上買賣雙方成交的價格，反映大家對這家公司未來的預期。短期股價受情緒、消息、市場氣氛影響，不一定等於公司的真實價值。長期持有，股價才會慢慢回歸基本面。
STOCK,STOCK-007,股市基礎・漲跌停之間你的心在哪裡,漲幅,漲幅,Price Increase Rate,easy,🌱,入門,📈,😊,🔢,⚠️,股價上漲的<b>百分比</b>幅度,漲得多帳面賺得多，但風險也跟著高,買進,一百元,,漲到,一百一十元,漲幅等於一成,追高漲幅大的股票往往買在最高點,漲幅是結果・追漲是最危險的投資習慣,今天來聊漲幅。很多人看到一檔股票漲了三成、五成，就心癢癢想衝進去買。但你有沒有想過，你看到這個漲幅的時候，其實別人已經賺到了。漲幅是一個結果，不是一個理由。追高漲幅大的股票，你買在的往往是別人獲利出場的位置。我自己這些年觀察下來，散戶最常見的虧損來源，就是看到漲才進場。記住，漲幅高不等於還會繼續漲，要冷靜評估背後的原因。
STOCK,STOCK-008,股市基礎・漲跌停之間你的心在哪裡,跌幅,跌幅,Price Decrease Rate,easy,🌱,入門,📉,😰,🔢,⚠️,股價下跌的<b>百分比</b>幅度,跌得多帳面賠得多，恐慌出場常是最壞時機,買進,一百元,,跌到,九十元,跌幅等於一成,看到大跌恐慌賣出往往賣在最低點,跌幅是壓力測試・恐慌殺出是散戶最貴的學費,跌幅這個詞，很多人一看到就心跳加速。股票跌了一成、兩成，第一個反應是想趕快賣掉止血。但問題是，恐慌賣出的時機，往往剛好是最低點附近。賣完之後股價反彈，又後悔沒有撐住。這種循環我見過太多次了。跌幅大不一定代表還會繼續跌，重點是你要先搞清楚，這個跌是基本面出問題，還是市場情緒造成的短暫恐慌。兩種情況，應對方式完全不同。
STOCK,STOCK-009,股市基礎・漲跌停之間你的心在哪裡,漲停板,漲停,Limit Up,easy,🌱,入門,🚀,🔒,📏,⚠️,股價單日最高<b>上漲極限</b>，台灣為一成,漲停讓人興奮，但明天不保證繼續漲,昨收,一百元,,今日漲停,一百一十元,漲幅等於一成,連續漲停後追買風險極高，要特別謹慎,漲停是單日上限・不代表明天繼續漲,台灣股票每天漲跌幅度最多一成，漲停就是當天的上限。看到漲停，很多人第一個反應是「明天一定繼續漲」，然後隔天追買。但事實是，漲停隔天繼續漲停的比例並沒有你想像的高。主力有時候就是讓股票漲停，吸引散戶追進，然後隔天高開低走，讓追高的人套住。漲停之後的走勢充滿不確定性，沒有做足功課就追買漲停，風險是非常高的。
STOCK,STOCK-010,股市基礎・漲跌停之間你的心在哪裡,跌停板,跌停,Limit Down,easy,🌱,入門,🔻,🔒,📏,⚠️,股價單日最大<b>下跌極限</b>，台灣為一成,跌停提供緩衝，但也可能讓人出不了場,昨收,一百元,,今日跌停,九十元,跌幅等於一成,跌停時流動性差，想賣也賣不掉要小心,跌停是單日下限・出現時要冷靜評估原因,跌停板是台灣股市的保護機制，一天最多跌一成，讓市場有時間消化壞消息。但跌停也有一個很現實的問題，就是想賣的人很多、想買的人很少，有時候根本出不了場。如果你手上有股票跌停，不要光想著要趕快賣，先冷靜下來搞清楚跌停的原因。是突發的壞消息還是公司出了根本性的問題？原因不同，應對策略完全不一樣。跌停不是世界末日，但要理性面對。
STOCK,STOCK-011,股市基礎・漲跌停之間你的心在哪裡,多頭市場,多頭,Bull Market,easy,🌱,入門,🐂,📈,😄,⚠️,股價長期<b>持續上漲</b>的市場環境,多頭讓人覺得投資很容易，最容易過度自信,大盤指數,持續上漲,,持續,六個月,以上稱多頭,多頭末期最危險，人人樂觀時要開始謹慎,多頭讓人賺錢・但也讓人忘記風險的存在,多頭市場就是股價長期往上走的環境，大家都在賺錢、信心滿滿。聽起來很美好，但多頭市場其實是最危險的時候。為什麼？因為賺錢太容易，人就容易忘記風險。我見過很多投資朋友，在多頭裡賺了錢，以為自己很厲害，開始加大部位、甚至借錢投資。等到多頭結束，才知道那段時間的獲利根本不是靠能力，是靠運氣。多頭時越賺，越要保持謹慎的心態。
STOCK,STOCK-012,股市基礎・漲跌停之間你的心在哪裡,空頭市場,空頭,Bear Market,easy,🌱,入門,🐻,📉,😰,⚠️,股價長期<b>持續下跌</b>的市場環境,空頭讓人虧損，但也是累積好資產的機會,大盤指數,持續下跌,,超過,兩成,以上稱空頭,空頭中融資追價是最危險的事,空頭讓人恐懼・但往往孕育下一個多頭機會,空頭市場是股價長期往下走的環境，悲觀情緒到處蔓延，新聞天天都是壞消息。很多人在空頭中賠錢、喪失信心，最後在最低點附近認賠出場。但你知道嗎，歷史上每一次空頭之後，都迎來了下一個多頭。空頭不是終點，而是重新累積好資產的機會。當然前提是你要保留足夠的現金和信心。空頭中千萬不能融資追買，那才是真正的危險。
STOCK,STOCK-013,股市基礎・配股配息那天錢真的變多了嗎,除權,除權,Ex-Rights,easy,🌱,入門,✂️,📉,🔄,⚠️,除去<b>配股權利</b>的基準日，股價同步調整,除權當天股價會下降，不是跌了是調整基準,配股,一股送零點一股,,除權後股價,從一百元,調降至約九十一元,除權不是跌，是還原股票股利的基準,除權是調整基準・股票數量增加但價值不變,除權這個詞，很多投資新手第一次遇到都嚇一跳，覺得自己的股票怎麼突然跌了一大截。其實除權不是跌，是基準的調整。公司配了股票股利給你，股價就要對應扣掉那個價值，不然帳面上就不平衡了。你的股票數量增加了，但每股價格也降了，總市值其實沒有馬上變化。真正重要的是之後股價有沒有辦法回升，也就是能不能填權，那才是決定你有沒有賺到的關鍵。
STOCK,STOCK-014,股市基礎・配股配息那天錢真的變多了嗎,除息,除息,Ex-Dividend,easy,🌱,入門,💸,📉,🔄,⚠️,除去<b>配息權利</b>的基準日，股價同步調整,除息當天股價下降等於現金股利先從股價扣掉,現金股利,每股五元,,除息後股價,從一百元,調降至九十五元,拿到現金股利但股價也降了，不是白賺,除息是扣掉現金股利・填息才算真正賺到,除息和除權很像，但發的是現金不是股票。公司每股配了五元現金給你，當天股價就從一百元降到九十五元。很多人覺得自己拿到五元現金很開心，但股票也少了五元，所以這一天其實沒有賺到任何東西。真正賺到是要等股價從九十五元漲回一百元，這叫做填息。如果股價一直填不回來，甚至繼續下跌，那你的現金股利其實是用資本損失換來的。
STOCK,STOCK-015,股市基礎・配股配息那天錢真的變多了嗎,配股,配股,Stock Dividend,easy,🌱,入門,📦,🔢,📊,⚠️,公司將保留盈餘轉換成<b>股票</b>發放給股東,股票變多了，但每股價值被稀釋，不一定划算,持有,一千股,,配股一成後變成,一千一百股,單價同步下調,股票數量增加但EPS被稀釋，要看清楚,配股讓股票變多・但每股價值同步被稀釋,配股是公司把盈餘轉成股票發給股東，聽起來很好，股票變多了嘛。但要想清楚一件事：股票變多，每股的價值就被稀釋了。本來一千股，配股一成變成一千一百股，但每股價格也同步下調。如果公司的獲利沒有跟著成長，每股盈餘就會變小，長期對股價是不利的。所以不是配股越多越好，要看公司配股的資金有沒有用在真正能創造獲利的地方。
